t_index tf-idf
      1  1.318
      2  2.888
      3  0.618
      4  5.389
      5  2.556
      6  3.028
      7  2.521
      8  3.067
      9  1.666
     10  1.469
     11  4.003
     12  2.393
     13  1.301
     14  3.472
     15  1.587
     16  3.261
     17  2.403
     18  4.919
     19  6.999
     20  5.207
     21  1.069
     22  1.218
     23  1.518
     24  2.123
     25  5.612
     26  2.354
     27  3.086
     28  1.881
     29   0.81
     30  1.789
     31  2.162
     32  2.493
     33  2.708
     34  2.029
     35  4.165
     36   3.78
     37  1.637
     38  5.444
     39  5.679
     40  2.197
     41  4.958
     42  2.616
     43  0.831
     44  3.703
     45  1.005
     46  2.219
     47  1.295
     48  2.871
     49  0.778
     50  1.221
     51  6.133
     52  1.981
     53  1.408
     54  3.335
     55  3.127
     56  2.722
     57  3.107
     58  2.853
     59  0.374
     60  5.207
     61  1.104
     62  5.088
     63  3.261
     64  2.845
     65  2.434
     66  3.192
     67 11.967
     68  2.139
     69  1.881
     70  2.093
     71  3.028
     72  2.694
     73  3.565
     74  2.477
     75  3.954
     76  2.211
     77  3.666
     78  1.382
     79  1.875
     80  1.434
     81  4.434
     82  5.389
     83  3.028
     84  1.637
     85   2.75
     86  5.389
     87  2.511
     88  4.003
     89  1.893
     90  2.354
     91   1.69
     92  3.388
     93  1.605
     94  2.466
     95  2.403
     96  1.227
     97  4.003
     98  2.178
     99  1.353
    100  3.631
    101  4.054
    102  4.324
    103  1.118
    104   3.17
    105  1.623
    106 10.223
    107  2.298
    108   6.57
    109  3.954
    110  2.131
    111  3.047
    112  1.434
    113  1.975
    114  9.201
    115  2.254
    116  2.116
    117  4.359
    118  1.149
    119   3.31
    120  8.864
    121  1.141
    122  1.726
    123  4.919
    124  2.203
    125  1.949
    126  0.694
    127 12.604
    128  5.207
    129   3.17
    130  5.648
    131  2.921
    132   2.05
